#z	C	T1	C-T1
0.0027	-0.221	0.364	-0.585
0.0027	-0.516	0.115	-0.631
0.0027	-0.777	-0.105	-0.672
0.0027	-1.238	-0.499	-0.739
0.0027	-1.63	-0.837	-0.793
0.0027	-2.238	-1.37	-0.868
0.0027	-2.89	-1.944	-0.946
0.0027	-3.436	-2.435	-1.001
0.0027	-4.055	-3.015	-1.04
0.0027	-4.934	-3.86	-1.074
0.0027	-5.398	-4.31	-1.088
0.0027	-6.048	-4.946	-1.102
0.004	14.444	11.173	3.271
0.004	13.025	10.174	2.851
0.004	12.283	9.606	2.677
0.004	11.774	9.186	2.588
0.004	11.367	8.845	2.522
0.004	10.944	8.468	2.476
0.004	10.576	8.166	2.41
0.004	10.137	7.817	2.32
0.004	9.632	7.43	2.202
0.004	9.093	7.035	2.058
0.004	7.832	6.198	1.634
0.004	6.696	5.485	1.211
0.004	5.813	4.9	0.913
0.004	5.095	4.369	0.726
0.004	4.49	3.894	0.596
0.004	3.974	3.48	0.494
0.004	3.507	3.123	0.384
0.004	3.095	2.827	0.268
0.004	2.754	2.597	0.157
0.004	2.464	2.407	0.057
0.004	2.221	2.243	-0.022
0.004	2.011	2.095	-0.084
0.004	1.834	1.973	-0.139
0.004	1.659	1.846	-0.187
0.004	1.378	1.636	-0.258
0.004	1.008	1.349	-0.341
0.004	0.5	0.939	-0.439
0.004	0.09	0.602	-0.512
0.004	-0.264	0.308	-0.572
0.004	-0.557	0.061	-0.618
0.004	-0.818	-0.157	-0.661
0.004	-1.281	-0.553	-0.728
0.004	-1.675	-0.89	-0.785
0.004	-2.326	-1.463	-0.863
0.004	-3.067	-2.115	-0.952
0.004	-3.637	-2.63	-1.007
0.004	-4.27	-3.227	-1.043
0.004	-4.993	-3.92	-1.073
0.004	-5.457	-4.37	-1.087
0.004	-6.071	-4.968	-1.103
0.007	14.82	11.485	3.335
0.007	13.593	10.539	3.054
0.007	12.858	9.952	2.906
0.007	12.305	9.503	2.802
0.007	11.844	9.128	2.716
0.007	11.374	8.723	2.651
0.007	10.985	8.395	2.59
0.007	10.546	8.029	2.517
0.007	10.046	7.638	2.408
0.007	9.546	7.26	2.286
0.007	8.366	6.442	1.924
0.007	6.958	5.554	1.404
0.007	5.873	4.848	1.025
0.007	5.167	4.344	0.823
0.007	4.524	3.864	0.66
0.007	3.999	3.453	0.546
0.007	3.539	3.092	0.447
0.007	3.129	2.789	0.34
0.007	2.119	2.108	0.011
0.007	1.908	1.964	-0.056
0.007	1.727	1.834	-0.107
0.007	1.384	1.584	-0.2
0.007	0.993	1.285	-0.292
0.007	0.464	0.864	-0.4
0.007	0.044	0.522	-0.478
0.007	-0.307	0.233	-0.54
0.007	-0.608	-0.018	-0.59
0.007	-0.872	-0.237	-0.635
0.007	-1.341	-0.635	-0.706
0.007	-1.736	-0.97	-0.766
0.007	-2.396	-1.548	-0.848
0.007	-3.137	-2.198	-0.939
0.007	-3.707	-2.708	-0.999
0.007	-4.352	-3.312	-1.04
0.007	-5.081	-4.011	-1.07
0.007	-5.545	-4.46	-1.085
0.007	-6.155	-5.053	-1.102
0.0123	15.124	11.836	3.288
0.0123	14.019	10.901	3.118
0.0123	13.296	10.315	2.981
0.0123	12.727	9.849	2.878
0.0123	12.258	9.454	2.804
0.0123	11.785	9.039	2.746
0.0123	11.327	8.647	2.68
0.0123	10.878	8.26	2.618
0.0123	10.42	7.864	2.556
0.0123	9.954	7.485	2.469
0.0123	8.864	6.686	2.178
0.0123	7.166	5.576	1.59
0.0123	5.499	4.473	1.026
0.0123	3.73	3.172	0.558
0.0123	3.303	2.851	0.452
0.0123	2.758	2.458	0.3
0.0123	2.303	2.151	0.152
0.0123	2.022	1.964	0.058
0.0123	1.823	1.822	0.001
0.0123	1.421	1.542	-0.121
0.0123	1.002	1.23	-0.228
0.0123	0.439	0.789	-0.35
0.0123	-0.002	0.436	-0.438
0.0123	-0.361	0.144	-0.505
0.0123	-0.667	-0.106	-0.561
0.0123	-0.942	-0.333	-0.609
0.0123	-1.421	-0.736	-0.685
0.0123	-1.822	-1.074	-0.748
0.0123	-2.505	-1.67	-0.835
0.0123	-3.527	-2.566	-0.961
0.0123	-4.151	-3.133	-1.018
0.0123	-4.841	-3.789	-1.052
0.0123	-5.446	-4.37	-1.076
0.0123	-6.299	-5.2	-1.099
